nframe,x0,y0
0,1277.0,1061.0
1,1293.9385114143938,1038.742316345215
2,1306.6276095325697,1035.0412967826123
3,1407.827494468159,935.7694887722641
4,1430.5357720489349,933.689642750082
5,1404.5510672313872,895.171037190047
6,1408.7186948585454,872.4794714215396
7,1404.1841406636697,846.1901567110802
8,1354.190312404863,785.5067559886079
9,1287.3929527617975,720.0865491142654
10,1303.2280111964508,707.9926274138022
11,1308.8656921114355,705.1745308509018
12,1310.1546798658985,705.4138362815233
13,1310.0896660012377,705.8602170800374
14,1307.3307041281419,704.1642177801108
15,1303.4508357307554,705.0969927912091
16,1304.1088884169617,703.9967315997143
17,1303.2526233092403,704.043615222275
18,1303.6802857917064,702.2636115147143
19,1310.843736891959,699.357419334984
20,1311.3676916164168,700.2239588064738
21,1315.6082312239555,700.3130759081201
22,1359.3313879124348,697.8481565358079
23,1418.8783456905153,719.1825982974239
24,1487.4676602327386,785.4389229191332
25,1574.0171057191917,793.6026766059686
26,1602.8899609821365,793.5666891230268
27,1670.976138174449,782.762470055805
28,1622.7137020122846,824.8656403609876
29,1689.078679429755,795.2445683670269
30,1703.606039297097,786.9645346927783
31,1695.6556847852141,794.2951141468787
32,1770.499310821258,796.3435889334054
33,1814.7229964168205,816.7804781702415
34,1830.675341867399,818.832637231921
35,1890.9294349892227,843.08343177202
36,2022.3876358762845,866.2716019782998
37,2095.6673854499973,899.3100813983622
38,2103.9441078422756,902.4384529071056
39,2103.9470308242826,905.4070177963082
40,2050.7462487933235,950.6430246176371
41,2050.8282167701814,950.573462410857
42,2053.6615485410366,948.1663136876107
43,2053.302264627199,948.4728228167371
44,2054.5700010834926,947.3895345067644
45,2055.6743791317936,946.444413620392
46,2055.9310687861894,946.2245867848129
47,2051.391654963779,950.1109926654143
48,2049.896944592406,951.3897459021716
49,2047.6791453571236,953.2892762099696
50,2048.6864104554293,952.4257968229085
51,2049.0994980809683,952.0710504034552
52,2052.2040716221604,949.3940710440052
53,2045.0265397291741,950.4618153890523
54,2044.364462182375,949.8483946997142
55,2045.8292151565936,950.8885561709288
56,2045.2077706004316,950.5628617105846
57,2045.8045127663393,951.5614266776112
58,2048.901387788496,956.7238908666893
59,2050.3196263305485,959.090854867734
60,2051.2533159558493,960.6541420752657
61,2049.310553668178,957.4448425633822
62,2048.117747251869,956.812460318197
63,2051.6720572661843,959.2580607219209
64,2029.6411743268418,1005.0551742206862
65,2005.905941771649,1023.7340081673933
66,1948.2422397926312,1007.6904369506324
67,1881.379980755451,990.6415116591006
68,1753.3792409646885,998.7632239154054
69,1689.2050446060089,982.7989596913718
70,1626.2639510643935,972.588618836884
71,1610.3774659873955,970.9190950829067
72,1472.2771412177049,950.2695083163737
73,1451.2665434109622,941.2401880995791
74,1374.5188541051373,910.493567867567
75,1346.990622340397,865.5094026621819
76,1327.774207543544,842.6854466509942
77,1308.9628175079984,829.0279179448214
78,1267.2693372715012,815.0948688151992
79,1292.408209879588,819.938515124607
80,1227.7422322995158,812.1280128289663
81,1149.6820011192003,805.7558018133828
82,1149.8539073810437,806.161937475941
83,1148.3726461459896,806.8795999654943
84,1147.9414622540507,806.5071055696202
85,1144.8717514777313,803.8510136001734
86,1148.9718020311616,803.4459972154507
87,1150.4530952467348,803.2981026882586
88,1148.7386685871488,803.8976333295005
89,1151.8190093666085,802.8186039706515
90,1154.7474286468491,801.7889675642272
91,1151.5252581197533,802.921095688786
92,1148.904816837961,803.8422817642473
93,1013.6807381420678,824.7686231024281
94,968.237641993623,844.5376116109851
95,1045.826597918654,827.3421869349584
96,929.5504006615993,842.3716963672124
97,783.1805276989965,862.4049863791703
98,788.0156286187898,826.8834836830936
99,771.3077900715213,814.2638348987672
100,740.0354124692385,850.1321292468831
101,739.1324020220272,851.0247667184879
102,737.1916683623289,850.9356588107426
103,735.271440544991,850.5232575749518
104,737.7016010178497,849.5855116402256
105,730.7672575810161,851.8944138692572
106,729.2697148248062,853.0883098489297
107,731.6918460713287,851.1488744485331
108,728.7054332030541,851.7375082508141
109,731.0909110607377,852.7781640291396
110,729.2995324420828,846.8698094623337
111,731.5714086088038,847.02662504231
112,736.139038263525,842.4940999626434
113,737.5375351296412,840.0515420075237
114,735.5291277212773,841.0469541218229
115,742.4146781432631,839.305250518043
116,742.4479439549352,838.885983182091
117,745.5197632668389,835.8326285274862
118,747.9073058077331,833.4631265068207
119,747.347691089286,834.0160098559384
120,746.6198077957762,835.0654362631547
121,743.5979866244628,832.2182622223869
122,755.9081796657571,832.7582470079739
123,757.0253772941281,832.9056316344493
124,757.2917607998841,832.8647372894832
125,765.1801669960324,831.6565522022418
126,759.7065711180693,832.4899498067681
127,757.1037110751965,832.887864655105
128,757.5994453351758,832.811857392249
129,751.12564774694,833.8081021033421
130,744.5393335610787,834.8221658419494
131,742.1680189579283,835.1874669570459
132,739.6809973280401,835.5693676157571
133,734.4081927881075,836.3748193048173
134,735.9621170573358,832.6942460762689
135,742.0853902249089,833.0875535305013
136,742.0524169624807,833.0265862836064
137,746.8121563867929,834.1319285067294
138,745.198763649345,833.2082036396458
139,737.7687236856119,828.9468856951604
140,737.6075601289803,828.8543993464025
141,733.2091898514092,826.3305707554748
142,736.5025583229219,828.2255415435443
143,735.2817006382758,827.5234273747263
144,738.2193284375948,825.2770911786463
145,737.5162027143098,825.4955762426971
146,733.1808379484478,824.3419979611655
147,726.8432999708016,824.2129315669603
148,726.1315010315326,822.171159832268
149,726.0027792377641,822.1003568247418
150,727.68591224397,822.7547989608885
151,726.1786687264379,822.170773704572
152,732.0878324197569,823.5460043341694
153,731.2042439383177,826.1538754539778
154,725.5122733894988,823.857010477638
155,725.0042747261842,823.3814749497461
156,727.9881645986953,821.6526444128515
157,730.2058630139848,821.7187040065494
158,731.8764129882028,823.5230889461511
159,766.8421659472109,870.5670485917431
160,770.7182868345358,876.5138573088866
161,780.1768804984429,899.8290958448491
162,832.6113805979073,949.444022382769
163,827.2477149293597,947.048165440699
164,822.7311298802368,947.9749745156524
165,824.9532020517709,946.6695348415625
166,824.2827405750387,944.6049071455648
167,826.7564165768907,943.5807205422127
168,826.5838760497193,943.5306844413715
169,823.1017769668713,946.6358431292118
