nframe,x0,y0
0,731.0,708.0
1,751.1173478816805,671.379455354011
2,752.1551450236751,668.1096612963323
3,720.675884878989,673.9437813347226
4,717.0624314585457,676.6548255086818
5,721.3741871102097,710.7837401264312
6,725.7722333674456,720.7458687082288
7,722.8453330615939,753.1511927578273
8,723.3131641288059,786.3230429470974
9,727.3615713646708,784.7015173150068
10,728.3044897262753,784.4476621022258
11,742.6557318888063,794.8753076339767
12,787.1094583870779,818.4139022153585
13,822.3360106617006,841.5044847037896
14,827.9802736642741,841.7330517818903
15,864.5383836744937,874.2742041246138
16,878.8710125596328,899.6071131016998
17,898.5967708407468,934.9149982248516
18,901.9756659194442,941.4019987584153
19,923.6177772795365,960.5455953665472
20,925.9230017840645,962.2259949095732
21,941.1776884542344,994.7817850437852
22,939.8241362429501,1024.1547652559645
23,940.3360661880822,1021.0981570075676
24,942.101007140346,1022.1186213763751
25,936.5600483067176,1013.0184728632148
26,939.28539925181,1009.3990264947067
27,935.5396181920935,1014.3254981766365
28,929.6333658335479,1008.7560781483342
29,929.3186989522624,1008.7500229179951
30,929.3887621683139,1007.4408013320655
31,931.1727080779606,1007.6813260911654
32,931.0700794421922,1007.7341156583623
33,930.9250864414312,1007.7414675706427
34,930.9752990607674,1006.4358445596824
35,930.8876881020703,1006.129278655726
36,931.2733715526954,1006.6618564217463
37,931.3830374975607,1006.453487213395
38,930.1403973286319,1006.7276637979162
39,929.7382224252311,1006.9828835003077
40,929.9070320013846,1006.9165120971265
41,929.3867291569986,1008.1063588602855
42,929.3585233468363,1008.6547255846202
43,928.9451894011295,1008.9661581891435
44,928.9527548292856,1008.9530094632137
45,928.5075551466389,1009.770661721252
46,927.5392706633978,1011.3079103762582
47,927.3144314212709,1010.048153886687
48,926.758854896093,1008.9412877190188
49,927.3796243420758,1008.9553560062952
50,928.2027245007648,1008.8139671077088
51,928.9301209233078,1008.8008672602143
52,928.2776627269493,1008.8473746905024
53,928.1933870100659,1008.7036388073316
54,928.257625135272,1008.9835045405314
55,927.3962775958701,1010.1032879213051
56,926.3876750563735,1009.8114640475872
57,926.8388258101961,1011.3584465744623
58,926.6326682375172,1011.2349764526
59,927.1384264102142,1011.5871092694165
60,928.2312728381022,1010.7745600820276
61,928.2859519595314,1010.7691904260603
62,929.9614073253625,1010.7301065718589
63,934.5150804512306,1008.7420715120456
64,934.2629674592034,1008.9624470219072
65,934.6642408520403,1008.9952410060537
66,934.5181913701703,1009.0962425741573
67,934.8442049667922,1009.8302749587872
68,934.7337708374158,1009.0889666248611
69,934.6573353723127,1009.2226231497415
70,935.2352764290059,1010.023803857348
71,935.3502681348143,1011.2403858312493
72,935.2901576597159,1011.2207552237896
73,934.7005232237129,1010.9411175541932
74,935.2661471867704,1010.9387976103976
75,935.3421759397687,1010.8889834544079
76,935.7361582018115,1011.9011846382027
77,934.3890785980092,1011.8985172789843
78,935.6391224871568,1011.934530188707
79,935.7621725490027,1013.7443633808816
80,934.8368690726234,1013.4565595127929
